Title,Location,Price,Area
Apartment Amstelveenseweg 224 3,1075 XT Amsterdam (Schinkelbuurt),"2,950 per month",115 meter square
Apartment Van Boshuizenstraat,1082 AN Amsterdam (Buitenveldert-Oost),"2,000 per month",67 meter square
Apartment Nieuwe Prinsengracht,1018 VT Amsterdam (Weesperbuurt/Plantage),"2,975 per month",110 meter square
Apartment Maria Austriastraat 682 C,1087 JC Amsterdam (IJburg West),"2,150 per month",40 meter square
Apartment Egelantiersgracht,1015 RB Amsterdam (Jordaan),"2,750 per month",70 meter square
Apartment Marnixstraat,1015 VH Amsterdam (Jordaan),"1,950 per month",65 meter square
House Panamakade,1019 TT Amsterdam (Oostelijk Havengebied),"2,950 per month",166 meter square
Apartment Leliegracht,1016 GN Amsterdam (Grachtengordel-West),"1,850 per month",51 meter square
Apartment Erich Salomonstraat 112,1087 EH Amsterdam (IJburg West),"2,200 per month",103 meter square
Apartment Nachtwachtlaan 506,1058 ET Amsterdam (Overtoomse Veld),"2,300 per month",100 meter square
Apartment Maria Austriastraat 83,1087 EK Amsterdam (IJburg West),"2,100 per month",90 meter square
Apartment Burmanstraat 35,1091 SH Amsterdam (Weesperzijde),"1,950 per month",47 meter square
Apartment Kloveniersburgwal 35 C,1011 JV Amsterdam (Nieuwmarkt/Lastage),"2,000 per month",80 meter square
Apartment Bolestein,1081 EK Amsterdam (Buitenveldert-West),"6,000 per month",45 meter square
Apartment Prins Hendrikkade,1012 TK Amsterdam (Burgwallen-Nieuwe Zijde),"2,250 per month",75 meter square
Apartment S. F. van Ossstraat 82,1068 JL Amsterdam (Osdorp-Oost),"1,950 per month",80 meter square
Apartment Het Breed 515,1025 HT Amsterdam (Buikslotermeer),"1,750 per month",95 meter square
House Dierenriem,1033 AE Amsterdam (Tuindorp Oostzaan),"2,250 per month",84 meter square
Apartment Keizersgracht,1015 CX Amsterdam (Grachtengordel-West),"2,295 per month",72 meter square
Apartment Gerard Douplein 19 2,1073 XE Amsterdam (Oude Pijp),"2,100 per month",70 meter square
Apartment Jan Evertsenstraat 649,1061 XZ Amsterdam (Overtoomse Veld),"1,850 per month",95 meter square
Apartment Stadionkade 69 2,1077 VS Amsterdam (Apollobuurt),"2,750 per month",110 meter square
Apartment H. Diesveldsingel,1060 RL Amsterdam (Middelveldsche Akerpolder),"2,750 per month",106 meter square
Apartment Kuiperssteeg 7,1012 HR Amsterdam (Burgwallen-Oude Zijde),"2,750 per month",130 meter square
Apartment Johannes Verhulststraat,1075 HC Amsterdam (Willemspark),"2,850 per month",75 meter square
Apartment Reijnier Vinkeleskade,1071 SX Amsterdam (Museumkwartier),"3,750 per month",120 meter square
Apartment Geuzenstraat 48 3,1056 KE Amsterdam (Geuzenbuurt),"2,200 per month",100 meter square
Apartment Bestevâerstraat 4 3,1056 HM Amsterdam (Geuzenbuurt),"2,500 per month",90 meter square
Apartment Andreasplein,1058 GD Amsterdam (Westlandgracht),"4,000 per month",140 meter square
Apartment Graafschapstraat,1079 PE Amsterdam (Scheldebuurt),"1,855 per month",73 meter square
Apartment Van Nijenrodeweg 88 4,1083 EE Amsterdam (Buitenveldert-Oost),"2,250 per month",100 meter square
